id,title,slug,type,categories,info,latitude,longitude,city_location,branch_id,cash_in,atm_currencies,date
4476,"""Goychay"" branch",goycay-filiali_4474,branch,branches,"Address: 2D Mehdi Huseynzade Street, Goychay city Phone: 144 E-mail: goychay@bankrespublika.az Working hours: Monday – Friday: 9:00 AM – 5:30 PM Opening date: November 2025",40.6420662,47.7451923,regions,065,,,2025-11-18 11:13:00
4394,"""Beylagan"" branch",beyleqan-filiali_4392,branch,branches,"Address: Beylagan city, Sardar Imraliyev street, entrance 292A Phone: 144 E-mail: Beylagan@BankRespublika.az Working hours: Monday - Friday: 08:30- 17:30 Date of creation: July 8, 2025",39.7701636,47.6137369,regions,064,,,2025-07-15 14:44:00
4296,"""Gabala"" branch",qebele-filiali_4294,branch,branches,"Address: Gabala city, I.B. Gutgashinli street, 204-210 Phone: 144 E-mail: Gabala@bankrespublika.az",40.9750481,47.8414498,regions,063,,,2025-03-11 14:34:00
4190,"""Fuzuli"" branch",fuzuli-filiali_4188,branch,branches,"Address: Fuzuli city, Heydar Aliyev avenue Phone: 144 e-mail: fuzuli@bankrespublika.az",39.599480,47.150647,regions,061,,,2024-11-20 15:40:00
3577,Shabran branch,sabran-filiali_3575,branch,branches,"Address: Shabran city, Heydar Aliyev ave, 297 Phone number: 144 E-mail: Shabran@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",41.2115133,48.9578668,regions,,,,2023-09-18 17:44:00
3335,"""Sadarak"" branch",sederek-filiali_3333,branch,"branches, atms","Address: Baku city, Garadagh district, inside ""Saderak"" Trade Center Phone: 144 E-mail: Sadarak@bankrespublika.az",40.330608,49.7836361,baku,050,,azn usd eur,2023-06-07 16:18:00
3901,"""Gazakh"" branch",qazax-filiali_3059,branch,branches,"Address: Gazakh city, Heydar Aliyev avenue, 76. Phone: +994222951201 Fax: +994222951201",41.0905398,45.3607516,regions,49,,,2023-02-20 10:42:00
3902,SME Center (KOB Merkezi),kob-merkezi-filiali_2963,branch,branches,"Address: AZ 1075, Baku city, Narimanov district, Ziya Bunyadov Avenue 38C, block 1969. (in the administrative building of the Baku SME House of the Small and Medium Business Development Agency) Phone: 144 Email: kobmerkezi@bankrespublika.az Opening hours: Monday - Friday: 9:00 - 17:30. Date of creation: January 2023",40.4130419,49.8535906,baku,048,,,2023-01-11 16:52:00
3903,"""Agjabedi"" branch",agcabedi-filiali_2290,branch,branches,"Address: AZ 0400, Agjabedi city, Azi Aslanov street Phone: 144 E-mail: aghjabadi@bankrespublika.az Working hours: Monday – Friday: 9:00 - 17:30 Founded: June 2022",40.0446243,47.4536638,regions,046,,,2022-06-29 15:34:00
2231,"""Nakhchivan"" Branch",naxcivan-filiali_2227,branch,branches,"Address: Heydar Aliyev avenue,37-3, Nakhchivan city Phone number: (+994 36) 550 20 26/27/28 E-mail: Nakhchivan@bankrespublika.az Working time: Monday – Friday: 9:00 - 17:30 Creation date: June 2022",39.219181,45.407553,regions,045,,,2022-06-16 12:29:00
3899,"""Sheki"" branch",seki-filiali_1477,branch,branches,"Address: Sheki city, M.A. Rasulzade avenue Phone: 144 E-mail: Sheki@BankRespublika.az",41.2023238,47.1765699,regions,043,,,2022-01-18 15:30:00
3898,“Sumgayit” branch,sumqayit-filiali_972,branch,branches,"Address: Sumgayit, 45th quarter, N.Narimanov street, 1 Phone: (+994 18) 642 41 14, (+994 12) 437 25 36 Fax: (+994 18) 644 24 41 E-mail: Sumgayit@BankRespublika.az Working hours: Monday - Friday: 9:00 - 17:30 Founded:: August 2006",40.59369340025972,49.67176735401153,regions,16,,,2020-08-18 18:07:00
887,Tovuz branch,tovuz-filiali_464,branch,branches,"Address: Tovuz, Sabir str, 9 Phone number: (+994 022) 315 66 78 E-mail: Tovuz@BankRespublika.az Working time: Monday - Friday: 9:00 - 17:30",40.99959341455489,45.63514709472656,regions,39,,,2019-08-08 15:25:00
879,Ganja branch,gence-filiali_463,branch,branches,"Address: H.Aliyev avenue, 94, Ganja Phone number: (+994 22) 256 43 92 Fax: (+994 22) 256 43 92 E-mail: Ganja@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",40.672162,46.367889,regions,5,,,2019-08-08 15:23:00
882,Mingachevir branch,mingecevir-filiali_462,branch,branches,"Address: 58A, H.Aliyev ave., Mingechevir Phone number: (+994 24) 275 77 32 Fax: (+994 24) 275 77 32 E-mail: Mingechevir@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",40.76556625520051,47.058555483818054,regions,31,,,2019-08-08 15:19:00
890,Yevlax branch,yevlax-filiali_461,branch,branches,"Address: 12, H.Aliyev ave., Yevlakh Phone number: (+994 22) 336 23 42 Phone number: (+994 22) 336 23 47 Fax: (+994 22) 336 23 47 E-mail: Yevlax@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",40.61707081691601,47.14813590049744,regions,3,,,2019-08-08 15:18:00
878,Barda branch,berde-filiali_460,branch,branches,"Address: 102A, Nizami str., Barda Phone number: (+994 20) 205 06 99 Fax: (+994 20) 205 06 99 E-mail: Barda@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30 Creation date: August 2008",40.3776982386996,47.12587355895721,regions,28,,,2019-08-08 15:17:00
891,Zaqalata branch,zaqatala-filiali_459,branch,branches,"Address: 4, F.Amirov str., Zagatala Phone number: (+994 24) 225 66 75 Phone number: (+994 24) 225 66 75 E-mail: Zagatala@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",41.63366365063957,46.640567779541016,regions,36,,,2019-08-08 15:14:00
886,Shirvan branch,sirvan-filiali_458,branch,branches,"Address: 26A, 20th January str., Shirvan Phone number: (+994 21) 215 66 88 Fax: (+994 21) 215 66 33 E-mail: Shirvan@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",39.9567968,48.9381305,regions,21,,,2019-08-08 13:00:00
885,Sabirabad branch,sabirabad-filiali_457,branch,branches,"Address: Sabirabad, , Heydar Aliyev ave., 58A Phone number: (+994 21) 235 50 77 E-mail: Sabirabad@BankRespublika.az Working time: Monday - Friday: 8:30 - 17:30",40.005840046240984,48.471059054136276,regions,38,,,2019-08-08 12:59:00
884,Quba branch,quba-filiali_456,branch,branches,"Address: 156a, H.Əliyev pr. Guba. Phone number: (+994 23) 335 54 54 Fax: (+994 23) 335 54 54 E-mail: Quba@BankRespublika.az Working time: Bazar ertəsi – Cümə: 9:00 - 17:30",41.361699691715046,48.51355969905853,regions,8,,,2019-08-08 12:57:00
883,Gakh branch,qax-filiali_455,branch,branches,"Address: 3,İ.Mustafayev str. Gakh. Phone number: (+994 24) 255 52 20 E-mail: Gakh@BankRespublika.az Working time: Bazar ertəsi – Cümə: 9:00 - 17:30",41.41951149810361,46.919474601745605,regions,37,,,2019-08-08 12:56:00
881,Masalli branch,masalli-fililali_454,branch,branches,"Address: 111, M.Talishkhanov str., Masalli Phone number: (+994 25) 215 43 99 Fax: (+994 25) 215 43 69 E-mail: Masalli@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",39.024133994046764,48.66821885108948,regions,25,,,2019-08-08 12:45:00
880,Lankaran branch,lenkeran-filiali_453,branch,branches,"Address: 19, S.Akhundov str., Lenkeran Phone number: (+994 25) 255 47 08 Phone number: (+994 25) 255 47 25 Fax: (+994 25) 255 47 15 E-mail: Lenkeran@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",38.75441794597313,48.856791257858276,regions,12,,,2019-08-08 12:43:00
877,"""Absheron"" branch",abseron-sobesi_452,branch,branches,"""Absheron"" service point Address: 6 km, road Baku-Sumgayit, Xirdalan Phone number: (+994 12) 349 00 00 E-mail: Absheron@BankRespublika.az Working time: Monday – Friday: 9:00 - 17:30",40.45978893593613,49.75383996963501,regions,27,,,2019-08-08 12:41:00
